Number or species;S0 Promotor Range;S0 Promotor Influence;S0 Demotor Range;S0 Demotor Influence;S1 Promotor Range;S1 Promotor Influence;S1 Demotor Range;S1 Demotor Influence;Number of iterations;Simulation time;OP iter 0;OP iter 1;OP iter 2;OP iter 3;OP iter 4;OP iter 5;OP iter 6;OP iter 7;OP iter 8;OP iter 9;OP iter 10;OP iter 11;OP iter 12;OP iter 13;OP iter 14;OP iter 15;OP iter 16;OP iter 17;OP iter 18;OP iter 19;OP iter 20;OP iter 21;OP iter 22;OP iter 23;OP iter 24;OP iter 25;OP iter 26;OP iter 27;OP iter 28;OP iter 29;OP iter 30;OP iter 31;OP iter 32;OP iter 33;OP iter 34;OP iter 35;OP iter 36;OP iter 37;OP iter 38;OP iter 39;OP iter 40;OP iter 41;OP iter 42;OP iter 43;OP iter 44;OP iter 45;OP iter 46;OP iter 47;OP iter 48;OP iter 49;
2;3.2;0.51;6;-0.28000003;3.2;1;6;-0.2;50;4.080058;-0.000012000535;0.6539099;0.7322595;0.7475421;0.75257427;0.7547557;0.756584;0.7575756;0.7581349;0.7583836;0.7587352;0.759143;0.7594469;0.7596542;0.75988615;0.7599898;0.7600376;0.7600615;0.7600695;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;0.76007766;
2;3.2;0.51;6;-0.27000004;3.2;1;6;-0.2;50;4.0884795;0.0010279709;0.654831;0.7347385;0.7497413;0.7540261;0.7565506;0.75780463;0.7586853;0.7593573;0.7598533;0.76022923;0.7604535;0.7606137;0.76069355;0.7607977;0.7608454;0.76090115;0.76094913;0.7609969;0.76101273;0.76103675;0.76106083;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;0.7610608;
2;3.2;0.51;6;-0.26000005;3.2;1;6;-0.2;50;4.1238494;-0.0010880057;0.652479;0.73161244;0.7459056;0.75028527;0.7527144;0.75439113;0.7554223;0.75598973;0.7562847;0.75653285;0.75682104;0.75704426;0.7573158;0.75753975;0.7577317;0.75789964;0.7579396;0.7579716;0.75801164;0.7579875;0.7579875;0.7579875;0.7579875;0.75800353;0.7580115;0.7580275;0.75803554;0.7580356;0.75803554;0.75803554;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;0.7580435;
2;3.2;0.51;6;-0.25000006;3.2;1;6;-0.2;50;4.1668415;0.00089199445;0.65867954;0.73202544;0.7469642;0.7523393;0.75493664;0.7567034;0.75756526;0.75828433;0.75867593;0.75903535;0.75916314;0.759307;0.759355;0.75936294;0.7593709;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;0.75937897;
2;3.2;0.51;6;-0.24000005;3.2;1;6;-0.2;50;4.1687;-0.001596018;0.6507628;0.729486;0.744276;0.7486647;0.7516315;0.75360525;0.7547571;0.7554601;0.7559137;0.75632834;0.7565116;0.7568071;0.7570069;0.75707114;0.7571671;0.7572469;0.7572789;0.75732684;0.7573429;0.75735086;0.75735885;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;0.7573748;
2;3.2;0.51;6;-0.23000005;3.2;1;6;-0.2;50;4.175517;0.00026801025;0.65582734;0.73651314;0.75036997;0.7554701;0.75794953;0.7591457;0.7601295;0.7606653;0.76105756;0.7612574;0.7614572;0.76156145;0.7616412;0.7616972;0.7617132;0.76174533;0.76176137;0.76176137;0.7617694;0.7617694;0.76177746;0.76178545;0.7618094;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;0.7618174;
2;3.2;0.51;6;-0.22000004;3.2;1;6;-0.2;50;4.253979;-0.000060021615;0.6544393;0.73509574;0.7494522;0.7546554;0.7575178;0.75897235;0.75987476;0.76046574;0.76094437;0.761344;0.7615676;0.7617676;0.7618634;0.7619276;0.76196754;0.7620156;0.76200765;0.7620236;0.76204765;0.76204765;0.7620716;0.76208764;0.7620957;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;0.7621117;
2;3.2;0.51;6;-0.21000004;3.2;1;6;-0.2;50;4.292901;0.0007400032;0.6519826;0.7288824;0.7445468;0.7503177;0.7525567;0.7538519;0.7546741;0.755082;0.7553137;0.75550574;0.75572985;0.75577784;0.7558336;0.7558814;0.7559133;0.75594527;0.7560016;0.7560255;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;0.75604945;
2;3.2;0.51;6;-0.20000003;3.2;1;6;-0.2;50;4.2967253;-0.00052401825;0.6549786;0.7349746;0.7487852;0.75364447;0.75610596;0.7577367;0.7588313;0.7596542;0.76022977;0.76042193;0.76053345;0.7606696;0.76076525;0.76089334;0.7609172;0.7609253;0.7609493;0.7609494;0.76098126;0.760989;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;0.76099706;
2;3.2;0.51;6;-0.19000003;3.2;1;6;-0.2;50;4.3051634;-0.00065201527;0.65534806;0.73215175;0.74609315;0.7505929;0.752966;0.7545796;0.75560284;0.75625736;0.7567767;0.75699997;0.7571913;0.757319;0.75743926;0.757527;0.7576384;0.7577263;0.7577743;0.75779825;0.7578221;0.7578381;0.7578461;0.7578461;0.757878;0.7579021;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;0.757902;
